Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","1994","1994","tonnes","950000","F","FAO estimate"
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","1995","1995","tonnes","980000","F","FAO estimate"
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","1996","1996","tonnes","985990","","Official data"
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","1997","1997","tonnes","800000","F","FAO estimate"
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","1998","1998","tonnes","729514","","Official data"
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","1999","1999","tonnes","622924","","Official data"
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","2000","2000","tonnes","626330","","Official data"
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","2001","2001","tonnes","631766","","Official data"
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","2002","2002","tonnes","692886","","Official data"
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","2003","2003","tonnes","743466","","Official data"
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","2004","2004","tonnes","797739","","Official data"
"QC","Crops","32","Cameroon","5510","Production","486","Bananas","2005","2005","tonnes","929950","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","1994","1994","tonnes","1987604","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","1995","1995","tonnes","1631576","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","1996","1996","tonnes","1491109","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","1997","1997","tonnes","1607960","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","1998","1998","tonnes","1518474","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","1999","1999","tonnes","1725951","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","2000","2000","tonnes","1593628","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","2001","2001","tonnes","1469642","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","2002","2002","tonnes","1561058","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","2003","2003","tonnes","1647699","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","2004","2004","tonnes","1702565","","Official data"
"QC","Crops","44","Colombia","5510","Production","486","Bananas","2005","2005","tonnes","1798709","","Official data"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","1994","1994","tonnes","1920000","F","FAO estimate"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","1995","1995","tonnes","2122000","F","FAO estimate"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","1996","1996","tonnes","2305000","F","FAO estimate"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","1997","1997","tonnes","2227000","F","FAO estimate"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","1998","1998","tonnes","2429000","F","FAO estimate"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","1999","1999","tonnes","2351000","F","FAO estimate"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","2000","2000","tonnes","2181000","F","FAO estimate"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","2001","2001","tonnes","2061000","F","FAO estimate"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","2002","2002","tonnes","1975000","F","FAO estimate"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","2003","2003","tonnes","2144000","F","FAO estimate"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","2004","2004","tonnes","2118000","F","FAO estimate"
"QC","Crops","48","Costa Rica","5510","Production","486","Bananas","2005","2005","tonnes","1875000","F","FAO estimate"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","1994","1994","tonnes","5085915","","Official data"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","1995","1995","tonnes","5403304","","Official data"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","1996","1996","tonnes","5422835","","Official data"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","1997","1997","tonnes","5750261","","Official data"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","1998","1998","tonnes","5463442","","Official data"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","1999","1999","tonnes","6392022","","Official data"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","2000","2000","tonnes","5453220","","Official data"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","2001","2001","tonnes","6077040","","Official data"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","2002","2002","tonnes","5611438","","Official data"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","2003","2003","tonnes","6453806","","Official data"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","2004","2004","tonnes","6132276","","Official data"
"QC","Crops","58","Ecuador","5510","Production","486","Bananas","2005","2005","tonnes","6118424","","Official data"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","1994","1994","tonnes","638000","*","Unofficial figure"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","1995","1995","tonnes","780000","F","FAO estimate"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","1996","1996","tonnes","916000","F","FAO estimate"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","1997","1997","tonnes","810000","F","FAO estimate"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","1998","1998","tonnes","1035000","F","FAO estimate"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","1999","1999","tonnes","913000","F","FAO estimate"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","2000","2000","tonnes","955000","F","FAO estimate"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","2001","2001","tonnes","1602306","","Official data"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","2002","2002","tonnes","1762537","","Official data"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","2003","2003","tonnes","1719165","","Official data"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","2004","2004","tonnes","1894918","","Official data"
"QC","Crops","89","Guatemala","5510","Production","486","Bananas","2005","2005","tonnes","2057604","","Official data"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","1994","1994","tonnes","839136","","Official data"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","1995","1995","tonnes","866814","","Official data"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","1996","1996","tonnes","1022120","","Official data"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","1997","1997","tonnes","945650","","Official data"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","1998","1998","tonnes","861916","","Official data"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","1999","1999","tonnes","452579","","Official data"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","2000","2000","tonnes","469000","","Official data"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","2001","2001","tonnes","515844","","Official data"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","2002","2002","tonnes","659324","","Official data"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","2003","2003","tonnes","735174","","Official data"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","2004","2004","tonnes","811232","","Official data"
"QC","Crops","95","Honduras","5510","Production","486","Bananas","2005","2005","tonnes","887072","","Official data"
"QC","Crops","166","Panama","5510","Production","486","Bananas","1994","1994","tonnes","899263","","Official data"
"QC","Crops","166","Panama","5510","Production","486","Bananas","1995","1995","tonnes","864192","","Official data"
"QC","Crops","166","Panama","5510","Production","486","Bananas","1996","1996","tonnes","838266","","Official data"
"QC","Crops","166","Panama","5510","Production","486","Bananas","1997","1997","tonnes","757578","","Official data"
"QC","Crops","166","Panama","5510","Production","486","Bananas","1998","1998","tonnes","576220","","Official data"
"QC","Crops","166","Panama","5510","Production","486","Bananas","1999","1999","tonnes","775961","","Official data"
"QC","Crops","166","Panama","5510","Production","486","Bananas","2000","2000","tonnes","660398","","Official data"
"QC","Crops","166","Panama","5510","Production","486","Bananas","2001","2001","tonnes","532608","","Official data"
"QC","Crops","166","Panama","5510","Production","486","Bananas","2002","2002","tonnes","521692","","Official data"
"QC","Crops","166","Panama","5510","Production","486","Bananas","2003","2003","tonnes","508980","","Official data"
"QC","Crops","166","Panama","5510","Production","486","Bananas","2004","2004","tonnes","497076","","Official data"
"QC","Crops","166","Panama","5510","Production","486","Bananas","2005","2005","tonnes","439228","","Official data"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","1994","1994","tonnes","3916386","","Official data"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","1995","1995","tonnes","4236253","","Official data"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","1996","1996","tonnes","4229142","","Official data"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","1997","1997","tonnes","4407665","","Official data"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","1998","1998","tonnes","4106698","","Official data"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","1999","1999","tonnes","4570640","","Official data"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","2000","2000","tonnes","4929570","","Official data"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","2001","2001","tonnes","5059360","","Official data"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","2002","2002","tonnes","5274826","","Official data"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","2003","2003","tonnes","5368977","","Official data"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","2004","2004","tonnes","5631250","","Official data"
"QC","Crops","171","Philippines","5510","Production","486","Bananas","2005","2005","tonnes","6298225","","Official data"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","1994","1994","tonnes","138","","Official data"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","1995","1995","tonnes","142","","Official data"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","1996","1996","tonnes","141","","Official data"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","1997","1997","tonnes","138","","Official data"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","1998","1998","tonnes","154","","Official data"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","1999","1999","tonnes","136","","Official data"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","2000","2000","tonnes","144","","Official data"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","2001","2001","tonnes","133","","Official data"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","2002","2002","tonnes","131","","Official data"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","2003","2003","tonnes","171","","Official data"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","2004","2004","tonnes","185","F","FAO estimate"
"QC","Crops","225","United Arab Emirates","5510","Production","486","Bananas","2005","2005","tonnes","200","F","FAO estimate"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","1994","1994","tonnes","6260","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","1995","1995","tonnes","5900","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","1996","1996","tonnes","5900","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","1997","1997","tonnes","6210","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","1998","1998","tonnes","9525","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","1999","1999","tonnes","11158","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","2000","2000","tonnes","13154","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","2001","2001","tonnes","12701","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","2002","2002","tonnes","9070","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","2003","2003","tonnes","10251","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","2004","2004","tonnes","7530","","Official data"
"QC","Crops","231","United States of America","5510","Production","486","Bananas","2005","2005","tonnes","9480","","Official data"
